precision_bits,layer_name,mae,rmse,cosine_similarity,kl_divergence
10,model.layers.13.linear_attn.in_proj_z.input,0.059289008378982544,0.08074113726615906,0.9982481002807617,0.03907135874032974
10,model.layers.13.linear_attn.in_proj_z.output,0.03299815207719803,0.04606252536177635,0.9996057748794556,0.007493684068322182
10,model.layers.13.linear_attn.norm.input,4.640710358216893e-06,1.971336496353615e-05,0.9987581372261047,1.4368419343213645e-08
10,model.layers.13.linear_attn.norm.output,0.0018230552086606622,0.004102985840290785,0.9966051578521729,8.250352038885467e-06
10,model.layers.13.linear_attn.out_proj.input,0.0018230552086606622,0.004102985840290785,0.9966051578521729,8.383426757063717e-05
10,model.layers.13.linear_attn.out_proj.output,0.0014395450707525015,0.0019540730863809586,0.9961953163146973,1.8597547750687227e-05
10,model.layers.13.linear_attn.output,0.0014395450707525015,0.0019540730863809586,0.9961953163146973,1.8597547750687227e-05
10,model.layers.13.mlp.act_fn.input,0.020202796906232834,0.029037155210971832,0.9993657469749451,0.004282762762159109
10,model.layers.13.mlp.act_fn.output,0.006607900373637676,0.011809373274445534,0.9988651871681213,0.0015817689709365368
10,model.layers.13.mlp.down_proj.input,0.0031697407830506563,0.005538982804864645,0.9963485598564148,0.00018251992878504097
10,model.layers.13.mlp.down_proj.output,0.002032381249591708,0.0027092345990240574,0.9961284399032593,3.604137964430265e-05
10,model.layers.13.mlp.gate_proj.input,0.048177193850278854,0.06491407006978989,0.9982596635818481,0.05109814926981926
10,model.layers.13.mlp.gate_proj.output,0.020202796906232834,0.029037155210971832,0.9993657469749451,0.004282762762159109
10,model.layers.13.mlp.input,0.048177193850278854,0.06491407006978989,0.9982596635818481,0.05109814926981926
10,model.layers.13.mlp.output,0.002032381249591708,0.0027092345990240574,0.9961284399032593,3.604137964430265e-05
10,model.layers.13.mlp.up_proj.input,0.048177193850278854,0.06491407006978989,0.9982596635818481,0.05109814926981926
10,model.layers.13.mlp.up_proj.output,0.013524976558983326,0.017682062461972237,0.9981421828269958,0.0016340069705620408
10,model.layers.13.output,0.004618538077920675,0.0065594385378062725,0.9981716871261597,0.00020567716273944825
10,model.layers.13.post_attention_layernorm.input,0.004444929771125317,0.006420689634978771,0.9981222152709961,0.00019318924751132727
10,model.layers.13.post_attention_layernorm.output,0.048177193850278854,0.06491407006978989,0.9982596635818481,0.05109814926981926
10,model.layers.14.input,0.004618538077920675,0.0065594385378062725,0.9981716871261597,0.00020567716273944825
10,model.layers.14.input_layernorm.input,0.004618538077920675,0.0065594385378062725,0.9981716871261597,0.00020567716273944825
10,model.layers.14.input_layernorm.output,0.057738494127988815,0.07860739529132843,0.9983065724372864,0.025085153058171272
10,model.layers.14.linear_attn.conv1d.input,0.03484123572707176,0.04951872304081917,0.9993260502815247,4.691582202911377
10,model.layers.14.linear_attn.conv1d.output,0.006156392395496368,0.01599709317088127,0.9995586276054382,0.34393832087516785
10,model.layers.14.linear_attn.in_proj_a.input,0.057738494127988815,0.07860739529132843,0.9983065724372864,0.025085153058171272
10,model.layers.14.linear_attn.in_proj_a.output,0.04911203309893608,0.061718691140413284,0.9995519518852234,0.009571581147611141
10,model.layers.14.linear_attn.in_proj_b.input,0.057738494127988815,0.07860739529132843,0.9983065724372864,0.025085153058171272
10,model.layers.14.linear_attn.in_proj_b.output,0.03317870944738388,0.045393913984298706,0.9996408820152283,0.008726261556148529
10,model.layers.14.linear_attn.in_proj_qkv.input,0.057738494127988815,0.07860739529132843,0.9983065724372864,0.025085153058171272
10,model.layers.14.linear_attn.in_proj_qkv.output,0.03484123572707176,0.04951872304081917,0.9993262887001038,0.043063413351774216
10,model.layers.14.linear_attn.in_proj_z.input,0.057738494127988815,0.07860739529132843,0.9983065724372864,0.025085153058171272
10,model.layers.14.linear_attn.in_proj_z.output,0.03209688141942024,0.04481879621744156,0.9997063875198364,0.007214749697595835
10,model.layers.14.linear_attn.norm.input,7.44769340599305e-06,2.800894799293019e-05,0.9992352724075317,3.815234705939474e-08
10,model.layers.14.linear_attn.norm.output,0.0029222220182418823,0.006638433318585157,0.9969848394393921,2.6397818146506324e-05
10,model.layers.14.linear_attn.out_proj.input,0.0029222220182418823,0.006638433318585157,0.9969848394393921,0.00026967644225806
10,model.layers.14.linear_attn.out_proj.output,0.002532706130295992,0.0034303481224924326,0.9965022802352905,5.964176671113819e-05
